,p_GEO.id2,p_GEO.display-label,p_HC01_VC03
10962,2407125,"Bethesda CDP, Maryland",63168
16939,3608026,"Brentwood CDP, New York",63115
25077,4829336,"Georgetown city, Texas",63062
9071,1983910,"West Des Moines city, Iowa",62999
29158,5613900,"Cheyenne city, Wyoming",62986
11520,2529405,"Haverhill city, Massachusetts",62943
27799,5361115,"Sammamish city, Washington",62877
11656,2572600,"Waltham city, Massachusetts",62832
4992,1275812,"Wellington village, Florida",62796
2371,622678,"Encinitas city, California",62595
4693,1249675,"North Port city, Florida",62542
11070,2423975,"Dundalk CDP, Maryland",62516
12457,2706382,"Blaine city, Minnesota",62453
4512,1235875,"Jupiter town, Florida",62373
12550,2713114,"Coon Rapids city, Minnesota",62342
8305,1916860,"Council Bluffs city, Iowa",62317
4690,1249450,"North Miami city, Florida",62308
3320,680644,"Tulare city, California",62296
2629,639486,"Lake Elsinore city, California",62229
19602,3933012,"Hamilton city, Ohio",62216
